Run,RTT_microseconds
1,183358
2,118315
3,47492
4,50157
5,48261
6,94208
7,99964
8,62419
9,55772
10,53318
11,59551
12,60303
13,49422
14,49229
15,49278
16,54806
17,52953
18,55328
19,60200
20,62453
21,63792
22,92446
23,81311
24,95079
25,72768
26,59164
27,50222
28,55279
29,76163
30,73018
31,54662
32,54448
33,54493
34,83175
35,105814
36,93289
37,106139
38,109655
39,73566
40,66489
41,79324
42,57496
43,52901
44,53237
45,50112
46,55873
47,54785
48,49329
49,56369
50,50287
51,49627
52,55819
53,79225
54,66215
55,56030
56,69448
57,70839
58,67665
59,61127
60,57134
61,53987
62,51587
63,57393
64,50979
65,52359
66,59029
67,64351
68,52861
69,57729
70,77395
71,78970
72,59843
73,60991
74,64246
75,51627
76,51159
77,53162
78,72720
79,77217
80,67253
81,58719
82,54873
83,55909
84,59377
85,62409
86,57759
87,57172
88,62413
89,59660
90,56956
91,59613
92,67157
93,55810
94,53358
95,75609
96,83919
97,56957
98,64693
99,64070
100,61887
